unidade;ano;mes;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HRJP;2019;10;II;6 a 10;0,559;3;1;1,68
HRJP;2019;10;IV;> 15;1,0;1;1;1,0
HRJP;2019;11;II;6 a 10;0,559;3;3;1,68
HRJP;2019;12;III;11 a 5;0,731;2;1;1,46
HRJP;2019;12;IV;> 15;1,0;1;1;1,0
HRJP;2020;1;II;6 a 10;0,559;2;1;1,12
HRJP;2020;2;III;11 a 5;0,731;2;2;1,46
HRJP;2020;3;II;6 a 10;0,559;1;1;0,56
HRJP;2020;3;III;11 a 5;0,731;1;1;0,73
HRJP;2020;4;IV;> 15;1,0;1;1;1,0
HRJP;2020;5;IV;> 15;1,0;1;1;1,0
HRJP;2020;8;III;11 a 5;0,731;1;1;0,73
HRJP;2020;12;III;11 a 5;0,731;3;1;2,19
HRJP;2021;1;III;11 a 5;0,731;1;1;0,73
HRJP;2021;2;IV;> 15;1,0;2;2;2,0
HRJP;2021;5;I;0 a 5;0,093;3;1;0,28
HRJP;2021;6;I;0 a 5;0,093;1;1;0,09
HRJP;2021;7;IV;> 15;1,0;1;1;1,0
HRJP;2021;11;II;6 a 10;0,559;4;1;2,24
HRJP;2021;12;III;11 a 5;0,731;2;1;1,46
HRJP;2022;1;III;11 a 5;0,731;1;1;0,73
HRJP;2022;3;IV;> 15;1,0;1;1;1,0
HRJP;2022;4;II;6 a 10;0,559;1;1;0,56
HRJP;2022;5;II;6 a 10;0,559;2;1;1,12
HRJP;2022;6;II;6 a 10;0,559;1;1;0,56
HRJP;2022;7;II;6 a 10;0,559;4;1;2,24
HRJP;2022;9;IV;> 15;1,0;2;2;2,0
HRJP;2022;10;III;11 a 5;0,731;2;1;1,46
HRJP;2022;11;I;0 a 5;0,093;4;2;0,37
HRJP;2022;12;III;11 a 5;0,731;3;1;2,19
HRJP;2023;3;III;11 a 5;0,731;3;1;2,19
HRJP;2023;7;IV;> 15;1,0;1;1;1,0
HRJP;2023;8;III;11 a 5;0,731;1;1;0,73
HRJP;2023;10;III;11 a 5;0,731;2;2;1,46
HRJP;2023;12;II;6 a 10;0,559;2;1;1,12
HRJP;2024;1;II;6 a 10;0,559;3;1;1,68
HRJP;2024;1;IV;> 15;1,0;1;1;1,0
HRJP;2024;3;III;11 a 5;0,731;1;1;0,73
HRJP;2024;3;IV;> 15;1,0;1;1;1,0
HRJP;2024;5;III;11 a 5;0,731;1;1;0,73
HRJP;2024;6;II;6 a 10;0,559;4;1;2,24
HRJP;2024;8;II;6 a 10;0,559;2;1;1,12
HRJP;2024;8;III;11 a 5;0,731;2;1;1,46
HRJP;2024;9;I;0 a 5;0,093;2;1;0,19
HRJP;2024;10;I;0 a 5;0,093;3;1;0,28
HRJP;2024;10;III;11 a 5;0,731;1;1;0,73
HRJP;2025;3;IV;> 15;1,0;1;1;1,0
HRJP;2025;4;III;11 a 5;0,731;1;1;0,73
HRJP;2025;6;III;11 a 5;0,731;1;1;0,73
HRJP;2025;8;IV;> 15;1,0;1;1;1,0
HRJP;2025;10;III;11 a 5;0,731;2;1;1,46
HRJP;2025;12;III;11 a 5;0,731;2;1;1,46
MOV;2019;2;I;0 a 5;0,093;2;1;0,19
MOV;2019;3;III;11 a 5;0,731;7;4;5,12
MOV;2019;5;II;6 a 10;0,559;6;1;3,35
MOV;2019;5;III;11 a 5;0,731;3;2;2,19
MOV;2019;5;IV;> 15;1,0;1;1;1,0
MOV;2019;6;II;6 a 10;0,559;1;1;0,56
MOV;2019;7;II;6 a 10;0,559;2;1;1,12
MOV;2019;7;III;11 a 5;0,731;2;1;1,46
MOV;2019;7;IV;> 15;1,0;1;1;1,0
MOV;2019;8;II;6 a 10;0,559;9;1;5,03
MOV;2019;9;II;6 a 10;0,559;3;1;1,68
MOV;2019;10;III;11 a 5;0,731;2;1;1,46
MOV;2019;12;I;0 a 5;0,093;3;1;0,28
MOV;2019;12;II;6 a 10;0,559;5;1;2,8
MOV;2019;12;III;11 a 5;0,731;1;1;0,73
MOV;2020;1;III;11 a 5;0,731;2;1;1,46
MOV;2020;2;IV;> 15;1,0;1;1;1,0
MOV;2020;3;IV;> 15;1,0;1;1;1,0
MOV;2020;4;III;11 a 5;0,731;3;2;2,19
MOV;2020;5;III;11 a 5;0,731;1;1;0,73
MOV;2020;5;IV;> 15;1,0;1;1;1,0
MOV;2020;6;IV;> 15;1,0;2;2;2,0
MOV;2020;7;IV;> 15;1,0;1;1;1,0
MOV;2020;8;III;11 a 5;0,731;1;1;0,73
MOV;2020;8;IV;> 15;1,0;3;1;3,0
MOV;2020;9;IV;> 15;1,0;1;1;1,0
MOV;2020;12;I;0 a 5;0,093;4;1;0,37
MOV;2020;12;II;6 a 10;0,559;3;1;1,68
MOV;2020;12;III;11 a 5;0,731;2;1;1,46
MOV;2021;2;IV;> 15;1,0;1;1;1,0
MOV;2021;5;III;11 a 5;0,731;1;1;0,73
MOV;2021;7;II;6 a 10;0,559;2;1;1,12
MOV;2021;7;III;11 a 5;0,731;3;3;2,19
MOV;2021;7;IV;> 15;1,0;3;3;3,0
MOV;2021;8;II;6 a 10;0,559;4;1;2,24
MOV;2021;8;III;11 a 5;0,731;1;1;0,73
MOV;2021;9;III;11 a 5;0,731;2;1;1,46
MOV;2021;10;III;11 a 5;0,731;1;1;0,73
MOV;2021;11;III;11 a 5;0,731;4;3;2,92
MOV;2021;11;IV;> 15;1,0;2;2;2,0
MOV;2022;1;III;11 a 5;0,731;1;1;0,73
MOV;2022;4;II;6 a 10;0,559;5;1;2,8
MOV;2022;5;III;11 a 5;0,731;1;1;0,73
MOV;2022;6;II;6 a 10;0,559;1;1;0,56
MOV;2022;7;III;11 a 5;0,731;1;2;0,73
MOV;2022;11;III;11 a 5;0,731;4;1;2,92
MOV;2023;1;II;6 a 10;0,559;1;1;0,56
MOV;2023;3;III;11 a 15;0,731;1;1;0,73
MOV;2023;11;III;11 a 15;0,731;1;1;0,73
MOV;2023;12;IV;> 15;1,0;1;1;1,0
MOV;2024;2;II;6 a 10;0,559;9;1;5,03
MOV;2024;2;IV;> 15;1,0;1;1;1,0
MOV;2024;3;IV;> 15;1,0;1;1;1,0
MOV;2024;4;IV;> 15;1,0;2;2;2,0
MOV;2024;5;III;11 a 15;0,731;2;1;1,46
MOV;2024;6;III;11 a 15;0,731;2;1;1,46
MOV;2024;9;III;11 a 15;0,731;4;2;2,92
MOV;2024;10;II;6 a 10;0,559;3;1;1,68
MOV;2024;10;III;11 a 15;0,731;4;3;2,92
MOV;2024;11;II;6 a 10;0,559;5;1;2,8
MOV;2024;11;IV;> 15;1,0;1;1;1,0
MOV;2025;1;I;0 a 5;0,093;4;2;0,37
MOV;2025;1;II;6 a 10;0,559;5;3;2,8
MOV;2025;2;III;11 a 15;0,731;5;3;3,66
MOV;2025;2;IV;> 15;1,0;1;1;1,0
MOV;2025;3;II;6 a 10;0,559;3;1;1,68
MOV;2025;4;IV;> 15;1,0;1;1;1,0
MOV;2025;5;III;11 a 15;0,731;4;2;2,92
MOV;2025;6;II;6 a 10;0,559;3;1;1,68
MOV;2025;9;II;6 a 10;0,559;1;1;0,56
MOV;2025;9;III;11 a 15;0,731;2;1;1,46
MOV;2025;10;II;6 a 10;0,559;2;1;1,12
MOV;2025;12;III;11 a 15;0,731;1;1;0,73
